,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
平安银行,000001.SZ,金融地产,银行,商业银行,综合性银行,混合型
万科A,000002.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
国华网安,000004.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,成长型
ST星源,000005.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
深振业A,000006.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
*ST全新,000007.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,价值型
神州高铁,000008.SZ,工业,资本品,机械制造,铁路设备,混合型
中国宝安,000009.SZ,工业,资本品,工业集团企业,工业集团企业,成长型
美丽生态,000010.SZ,工业,资本品,建筑与工程,园林工程,混合型
深物业A,000011.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
南玻A,000012.SZ,原材料,原材料,建筑材料,玻璃,价值型
沙河股份,000014.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
深康佳A,000016.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
深中华A,000017.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,价值型
深粮控股,000019.SZ,主要消费,食品与主要用品零售,食品与主要用品零售,食品经销商,成长型
深华发A,000020.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
深科技,000021.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,价值型
深天地A,000023.SZ,原材料,原材料,建筑材料,水泥,混合型
特力A,000025.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车经销商与汽车服务,成长型
飞亚达,000026.SZ,可选消费,零售业,其他零售,其他零售,价值型
深圳能源,000027.SZ,公用事业,公用事业,电力,火电,混合型
国药一致,000028.SZ,医药卫生,医药生物,制药,药品经销商,价值型
深深房A,000029.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
富奥股份,000030.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
大悦城,000031.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
深桑达A,000032.SZ,信息技术,计算机及电子设备,电子设备,电脑及电子设备经销商,混合型
神州数码,000034.SZ,信息技术,计算机及电子设备,电子设备,电脑及电子设备经销商,价值型
中国天楹,000035.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
华联控股,000036.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
深南电A,000037.SZ,公用事业,公用事业,电力,火电,混合型
深大通,000038.SZ,可选消费,传媒,传媒,营销与广告,价值型
中集集团,000039.SZ,工业,资本品,机械制造,通用机械,混合型
东旭蓝天,000040.SZ,公用事业,公用事业,电力,新能源发电,价值型
中洲控股,000042.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
深纺织A,000045.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
泛海控股,000046.SZ,金融地产,其他金融,其他金融服务,其它综合性金融服务,混合型
京基智农,000048.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
德赛电池,000049.SZ,工业,资本品,电气设备,新能源设备,混合型
深天马A,000050.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
方大集团,000055.SZ,工业,资本品,建筑产品,建筑产品,成长型
皇庭国际,000056.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,价值型
深赛格,000058.SZ,工业,商业服务与用品,商业服务与用品,市场服务,混合型
华锦股份,000059.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,价值型
中金岭南,000060.SZ,原材料,原材料,有色金属,其它有色金属及合金,价值型
农产品,000061.SZ,工业,商业服务与用品,商业服务与用品,市场服务,成长型
深圳华强,000062.SZ,工业,商业服务与用品,商业服务与用品,市场服务,混合型
中兴通讯,000063.SZ,电信业务,通信设备,通信设备,通信传输设备,价值型
北方国际,000065.SZ,工业,资本品,建筑与工程,土木工程,成长型
中国长城,000066.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,混合型
华控赛格,000068.SZ,工业,资本品,环保设备、工程与服务,环保服务,价值型
华侨城A,000069.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
特发信息,000070.SZ,电信业务,通信设备,通信设备,通信传输设备,价值型
海王生物,000078.SZ,医药卫生,医药生物,制药,药品经销商,成长型
盐田港,000088.SZ,工业,交通运输,道路运输,公路运输,成长型
深圳机场,000089.SZ,工业,交通运输,交通基本设施,机场,价值型
天健集团,000090.SZ,工业,资本品,建筑与工程,土木工程,价值型
广聚能源,000096.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,混合型
中信海直,000099.SZ,工业,交通运输,航空货运与物流,航空货运,混合型
TCL科技,000100.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,价值型
宜华健康,000150.SZ,医药卫生,医疗器械与服务,医疗用品与服务提供商,医疗保健服务,价值型
中成股份,000151.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,价值型
丰原药业,000153.SZ,医药卫生,医药生物,制药,化学药,成长型
川能动力,000155.SZ,公用事业,公用事业,电力,新能源发电,混合型
华数传媒,000156.SZ,可选消费,传媒,传媒,广播与有线电视,混合型
中联重科,000157.SZ,工业,资本品,机械制造,工程机械,混合型
常山北明,000158.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
国际实业,000159.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,混合型
申万宏源,000166.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
东方盛虹,000301.SZ,原材料,原材料,化学制品,纤维及树脂,混合型
美的集团,000333.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
潍柴动力,000338.SZ,工业,资本品,机械制造,通用机械,价值型
许继电气,000400.SZ,工业,资本品,电气设备,电气部件与设备,混合型
冀东水泥,000401.SZ,原材料,原材料,建筑材料,水泥,价值型
金融街,000402.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
派林生物,000403.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
长虹华意,000404.SZ,工业,资本品,机械制造,通用机械,成长型
胜利股份,000407.SZ,公用事业,公用事业,燃气,燃气,成长型
藏格控股,000408.SZ,原材料,原材料,化学制品,化肥与农药,成长型
云鼎科技,000409.SZ,原材料,原材料,钢铁,钢铁,混合型
ST沈机,000410.SZ,工业,资本品,机械制造,通用机械,混合型
英特集团,000411.SZ,医药卫生,医药生物,制药,药品经销商,成长型
东旭光电,000413.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
渤海租赁,000415.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
民生控股,000416.SZ,金融地产,其他金融,消费信贷,消费信贷,混合型
合肥百货,000417.SZ,可选消费,零售业,多元化零售,百货商店,价值型
通程控股,000419.SZ,可选消费,零售业,多元化零售,综合货品商店,混合型
吉林化纤,000420.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
南京公用,000421.SZ,公用事业,公用事业,燃气,燃气,混合型
湖北宜化,000422.SZ,原材料,原材料,化学制品,化肥与农药,混合型
东阿阿胶,000423.SZ,医药卫生,医药生物,制药,中药,价值型
徐工机械,000425.SZ,工业,资本品,机械制造,工程机械,价值型
兴业矿业,000426.SZ,原材料,原材料,有色金属,其它有色金属及合金,混合型
华天酒店,000428.SZ,可选消费,消费者服务,酒店、餐馆与休闲,酒店,价值型
粤高速A,000429.SZ,工业,交通运输,交通基本设施,高速公路,价值型
张家界,000430.SZ,可选消费,消费者服务,酒店、餐馆与休闲,景点,价值型
晨鸣纸业,000488.SZ,原材料,原材料,纸类与林业产品,纸制品,价值型
山东路桥,000498.SZ,工业,资本品,建筑与工程,土木工程,混合型
鄂武商A,000501.SZ,可选消费,零售业,多元化零售,百货商店,价值型
*ST绿景,000502.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
国新健康,000503.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,混合型
南华生物,000504.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
京粮控股,000505.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,混合型
中润资源,000506.SZ,原材料,原材料,有色金属,黄金及其它贵金属,价值型
珠海港,000507.SZ,工业,交通运输,交通基本设施,港口,价值型
*ST华塑,000509.SZ,工业,资本品,建筑产品,建筑产品,价值型
新金路,000510.SZ,原材料,原材料,化学原料,化学原料,混合型
丽珠集团,000513.SZ,医药卫生,医药生物,制药,化学药,价值型
渝开发,000514.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
国际医学,000516.SZ,医药卫生,医疗器械与服务,医疗用品与服务提供商,医疗保健机构,成长型
荣安地产,000517.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
四环生物,000518.SZ,医药卫生,医药生物,生物科技,生物科技,混合型
中兵红箭,000519.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
长航凤凰,000520.SZ,工业,交通运输,航运,航运,混合型
长虹美菱,000521.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
*ST浪奇,000523.SZ,主要消费,家庭与个人用品,家常用品,家常用品,价值型
岭南控股,000524.SZ,可选消费,消费者服务,酒店、餐馆与休闲,酒店,价值型
ST红太阳,000525.SZ,原材料,原材料,化学制品,化肥与农药,价值型
学大教育,000526.SZ,可选消费,消费者服务,综合消费者服务,教育服务,混合型
柳工,000528.SZ,工业,资本品,机械制造,工程机械,价值型
广弘控股,000529.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
冰山冷热,000530.SZ,工业,资本品,机械制造,通用机械,价值型
穗恒运A,000531.SZ,公用事业,公用事业,电力,火电,成长型
华金资本,000532.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
顺钠股份,000533.SZ,工业,资本品,电气设备,电气部件与设备,混合型
万泽股份,000534.SZ,医药卫生,医药生物,制药,化学药,价值型
华映科技,000536.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
广宇发展,000537.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
