,日期,股票代码,股票名称,基金持股比例 [单位]% [比例类型]占流通股比例,基金持股数量 [单位]股,持股基金家数 [股本类型]流通股本
0,2020-09-30,000001.SZ,平安银行,3.27797358,636115757.0,317.0
1,2020-12-31,000001.SZ,平安银行,5.98312911,1161071801.0,1095.0
2,2021-03-31,000001.SZ,平安银行,5.76775332,1119276496.0,499.0
3,2021-06-30,000001.SZ,平安银行,7.82727119,1518941634.0,1137.0
4,2021-09-30,000001.SZ,平安银行,5.35327591,1038843995.0,405.0
5,2020-09-30,000002.SZ,万科A,8.2614609,803360695.0,518.0
6,2020-12-31,000002.SZ,万科A,12.10564974,1177177167.0,1173.0
7,2021-03-31,000002.SZ,万科A,8.92994428,868365320.0,555.0
8,2021-06-30,000002.SZ,万科A,9.60165124,933683432.0,951.0
9,2021-09-30,000002.SZ,万科A,7.32579041,712374251.0,282.0
10,2020-09-30,000004.SZ,国华网安,0.39725149,333400.0,1.0
11,2020-12-31,000004.SZ,国华网安,0.32266257,270800.0,6.0
12,2021-06-30,000004.SZ,国华网安,0.09562968,110100.0,3.0
13,2020-12-31,000006.SZ,深振业A,0.21687488,2927800.0,14.0
14,2021-06-30,000006.SZ,深振业A,0.35262352,4760400.0,21.0
15,2020-12-31,000007.SZ,*ST全新,0.01495397,46200.0,2.0
16,2020-12-31,000008.SZ,神州高铁,1.18508105,32954679.0,51.0
17,2021-06-30,000008.SZ,神州高铁,0.16512608,4591818.0,13.0
18,2020-09-30,000009.SZ,中国宝安,0.9549972,24393308.0,5.0
19,2020-12-31,000009.SZ,中国宝安,1.69478625,43289598.0,90.0
20,2021-03-31,000009.SZ,中国宝安,0.17744593,4532467.0,2.0
21,2021-06-30,000009.SZ,中国宝安,11.86579789,303085771.0,207.0
22,2021-09-30,000009.SZ,中国宝安,12.93129449,330301543.0,96.0
23,2020-09-30,000011.SZ,深物业A,2.82171549,14855642.0,7.0
24,2020-12-31,000011.SZ,深物业A,0.63891228,3363717.0,14.0
25,2021-03-31,000011.SZ,深物业A,0.29051473,1529489.0,1.0
26,2021-06-30,000011.SZ,深物业A,1.2053164,6345696.0,15.0
27,2020-12-31,000012.SZ,南玻A,1.26020141,24716620.0,81.0
28,2021-03-31,000012.SZ,南玻A,0.18413591,3611500.0,3.0
29,2021-06-30,000012.SZ,南玻A,8.90085117,174574445.0,262.0
30,2021-09-30,000012.SZ,南玻A,3.47107614,68079016.0,21.0
31,2020-12-31,000014.SZ,沙河股份,0.05086632,102600.0,1.0
32,2021-06-30,000014.SZ,沙河股份,0.03658805,73800.0,3.0
33,2020-12-31,000016.SZ,深康佳A,0.02600999,415274.0,13.0
34,2021-06-30,000016.SZ,深康佳A,0.02559862,408706.0,12.0
35,2020-12-31,000019.SZ,深粮控股,0.14137358,588420.0,6.0
36,2021-06-30,000019.SZ,深粮控股,0.1350307,562020.0,9.0
37,2021-06-30,000020.SZ,深华发A,0.00093837,1700.0,3.0
38,2020-09-30,000021.SZ,深科技,0.01130324,166300.0,2.0
39,2020-12-31,000021.SZ,深科技,2.12327677,31238908.0,126.0
40,2021-03-31,000021.SZ,深科技,0.62490769,9194013.0,4.0
41,2021-06-30,000021.SZ,深科技,2.45561731,36128500.0,119.0
42,2021-09-30,000021.SZ,深科技,1.17410828,17274178.0,2.0
43,2020-12-31,000023.SZ,深天地A,0.30031082,416700.0,1.0
44,2021-06-30,000023.SZ,深天地A,0.21498132,298300.0,6.0
45,2020-09-30,000025.SZ,特力A,0.17332652,680789.0,1.0
46,2020-12-31,000025.SZ,特力A,0.24725348,971158.0,15.0
47,2021-03-31,000025.SZ,特力A,0.12957131,508928.0,1.0
48,2021-06-30,000025.SZ,特力A,0.11664545,458158.0,15.0
49,2021-09-30,000025.SZ,特力A,0.15149385,595035.0,1.0
50,2020-09-30,000026.SZ,飞亚达,3.88159173,13861043.0,12.0
51,2020-12-31,000026.SZ,飞亚达,10.69575146,38194195.0,92.0
52,2021-03-31,000026.SZ,飞亚达,16.4111728,58826591.0,18.0
53,2021-06-30,000026.SZ,飞亚达,15.6446616,56078997.0,91.0
54,2021-09-30,000026.SZ,飞亚达,7.4753522,26795738.0,6.0
55,2020-09-30,000027.SZ,深圳能源,0.35334344,16809925.0,3.0
56,2020-12-31,000027.SZ,深圳能源,0.48788251,23210474.0,91.0
57,2021-03-31,000027.SZ,深圳能源,0.15383875,7318709.0,3.0
58,2021-06-30,000027.SZ,深圳能源,0.31886256,15169537.0,90.0
59,2021-09-30,000027.SZ,深圳能源,0.36783592,17499389.0,6.0
60,2020-09-30,000028.SZ,国药一致,1.69727235,6241494.0,7.0
61,2020-12-31,000028.SZ,国药一致,3.03682903,11167536.0,135.0
62,2021-03-31,000028.SZ,国药一致,1.07305598,3946021.0,6.0
63,2021-06-30,000028.SZ,国药一致,3.34881659,12314829.0,145.0
64,2021-09-30,000028.SZ,国药一致,0.57369847,2109700.0,5.0
65,2020-09-30,000029.SZ,深深房A,0.00069533,6200.0,1.0
66,2020-12-31,000029.SZ,深深房A,1.054e-05,94.0,2.0
67,2021-06-30,000029.SZ,深深房A,0.07981183,711650.0,6.0
68,2020-09-30,000030.SZ,富奥股份,0.4326252,7626028.0,4.0
69,2020-12-31,000030.SZ,富奥股份,3.33258426,58744569.0,61.0
70,2021-03-31,000030.SZ,富奥股份,1.45064868,25571066.0,3.0
71,2021-06-30,000030.SZ,富奥股份,2.27910547,40174549.0,34.0
72,2021-09-30,000030.SZ,富奥股份,0.51344089,9050593.0,1.0
73,2020-09-30,000031.SZ,大悦城,0.34168187,6197192.0,1.0
74,2020-12-31,000031.SZ,大悦城,1.1754565,21319626.0,80.0
75,2021-03-31,000031.SZ,大悦城,0.33567993,6346892.0,1.0
76,2021-06-30,000031.SZ,大悦城,1.3701058,25905372.0,88.0
77,2021-09-30,000031.SZ,大悦城,0.93371551,17654292.0,3.0
78,2020-12-31,000032.SZ,深桑达A,0.11086379,457240.0,10.0
79,2021-03-31,000032.SZ,深桑达A,0.01333547,55000.0,1.0
80,2021-06-30,000032.SZ,深桑达A,0.37065514,1528708.0,10.0
81,2021-09-30,000032.SZ,深桑达A,0.5705591,2353180.0,2.0
82,2020-09-30,000034.SZ,神州数码,4.783943,31342639.0,14.0
83,2020-12-31,000034.SZ,神州数码,2.81665966,18499106.0,51.0
84,2021-03-31,000034.SZ,神州数码,0.42211961,2772533.0,7.0
85,2021-06-30,000034.SZ,神州数码,0.51263657,3368424.0,47.0
86,2021-09-30,000034.SZ,神州数码,0.1848164,1216452.0,1.0
87,2020-09-30,000035.SZ,中国天楹,0.06107356,1489423.0,1.0
88,2020-12-31,000035.SZ,中国天楹,0.25048034,6321566.0,18.0
89,2021-06-30,000035.SZ,中国天楹,0.30730954,7755808.0,21.0
90,2020-09-30,000036.SZ,华联控股,1.63291592,24231395.0,3.0
91,2020-12-31,000036.SZ,华联控股,2.2195513,32936677.0,22.0
92,2021-03-31,000036.SZ,华联控股,2.2093629,32785488.0,10.0
93,2021-06-30,000036.SZ,华联控股,2.68703515,39873829.0,29.0
94,2021-09-30,000036.SZ,华联控股,4.34522054,64480206.0,5.0
95,2020-12-31,000038.SZ,深大通,0.04529386,107880.0,7.0
96,2021-03-31,000038.SZ,深大通,0.05659634,134800.0,1.0
97,2021-06-30,000038.SZ,深大通,0.02278968,54280.0,7.0
98,2020-09-30,000039.SZ,中集集团,0.00322528,49512.0,2.0
99,2020-12-31,000039.SZ,中集集团,2.93026302,44983103.0,137.0
100,2021-03-31,000039.SZ,中集集团,0.54092036,8303786.0,29.0
101,2021-06-30,000039.SZ,中集集团,3.63432659,55791334.0,199.0
102,2021-09-30,000039.SZ,中集集团,0.66668461,10234420.0,21.0
103,2020-12-31,000040.SZ,东旭蓝天,1.22898832,13031463.0,8.0
104,2021-03-31,000040.SZ,东旭蓝天,1.62642068,17245600.0,2.0
105,2021-06-30,000040.SZ,东旭蓝天,1.30329813,13819400.0,11.0
106,2021-09-30,000040.SZ,东旭蓝天,1.56581752,16603000.0,2.0
107,2021-06-30,000042.SZ,中洲控股,0.04742557,315300.0,2.0
108,2020-12-31,000045.SZ,深纺织A,0.07717563,352765.0,5.0
109,2021-06-30,000045.SZ,深纺织A,0.0663693,303370.0,10.0
110,2020-12-31,000046.SZ,泛海控股,0.54183383,28154773.0,90.0
111,2021-06-30,000046.SZ,泛海控股,0.51142024,26574421.0,81.0
112,2020-09-30,000048.SZ,京基智农,0.00535862,21568.0,1.0
113,2020-12-31,000048.SZ,京基智农,0.05885836,236900.0,3.0
114,2021-06-30,000048.SZ,京基智农,0.09872539,516570.0,16.0
115,2020-09-30,000049.SZ,德赛电池,14.00144495,28737089.0,7.0
116,2020-12-31,000049.SZ,德赛电池,15.87513283,32582716.0,79.0
117,2021-03-31,000049.SZ,德赛电池,15.58352245,31984204.0,29.0
118,2021-06-30,000049.SZ,德赛电池,12.87986809,38330928.0,114.0
119,2021-09-30,000049.SZ,德赛电池,0.5197605,1551495.0,3.0
120,2020-09-30,000050.SZ,深天马A,0.30019578,5490483.0,3.0
121,2020-12-31,000050.SZ,深天马A,2.28040735,55683017.0,149.0
122,2021-03-31,000050.SZ,深天马A,0.00778434,162360.0,2.0
123,2021-06-30,000050.SZ,深天马A,2.03327466,42408521.0,153.0
124,2021-09-30,000050.SZ,深天马A,0.00491999,113400.0,1.0
125,2020-12-31,000055.SZ,方大集团,0.10971134,745725.0,6.0
126,2021-06-30,000055.SZ,方大集团,0.02355397,160100.0,2.0
127,2020-12-31,000056.SZ,皇庭国际,0.10631527,961900.0,3.0
128,2021-06-30,000056.SZ,皇庭国际,0.00498474,45100.0,2.0
129,2020-12-31,000058.SZ,深赛格,0.00692768,37300.0,6.0
130,2021-06-30,000058.SZ,深赛格,0.01292672,69600.0,7.0
131,2020-12-31,000059.SZ,华锦股份,0.19722429,3154489.0,22.0
132,2021-06-30,000059.SZ,华锦股份,1.69458736,27103951.0,69.0
133,2021-09-30,000059.SZ,华锦股份,1.99009964,31830500.0,9.0
134,2020-09-30,000060.SZ,中金岭南,0.00644314,230000.0,1.0
135,2020-12-31,000060.SZ,中金岭南,2.04214152,72898028.0,103.0
136,2021-03-31,000060.SZ,中金岭南,0.48922756,17465034.0,1.0
137,2021-06-30,000060.SZ,中金岭南,1.65689169,59150188.0,92.0
138,2021-09-30,000060.SZ,中金岭南,0.36913591,13473531.0,3.0
139,2020-12-31,000061.SZ,农产品,0.44819793,7605758.0,50.0
140,2021-06-30,000061.SZ,农产品,0.51291181,8703929.0,61.0
141,2021-09-30,000061.SZ,农产品,0.042688,724400.0,1.0
142,2020-12-31,000062.SZ,深圳华强,0.44944048,4700740.0,63.0
143,2021-06-30,000062.SZ,深圳华强,3.87385472,40517008.0,98.0
144,2021-09-30,000062.SZ,深圳华强,2.12116495,22185462.0,3.0
145,2020-09-30,000063.SZ,中兴通讯,6.93654143,241171990.0,78.0
146,2020-12-31,000063.SZ,中兴通讯,7.50187895,330261514.0,455.0
147,2021-03-31,000063.SZ,中兴通讯,3.83062011,147782734.0,44.0
148,2021-06-30,000063.SZ,中兴通讯,7.25735308,320790570.0,574.0
149,2021-09-30,000063.SZ,中兴通讯,6.26447988,243498263.0,132.0
150,2020-09-30,000065.SZ,北方国际,0.31602705,2127153.0,1.0
151,2020-12-31,000065.SZ,北方国际,0.05171144,348066.0,10.0
152,2021-03-31,000065.SZ,北方国际,0.01088221,73250.0,2.0
153,2021-06-30,000065.SZ,北方国际,0.32247513,2186532.0,10.0
154,2021-09-30,000065.SZ,北方国际,0.48717125,3303304.0,1.0
155,2020-09-30,000066.SZ,中国长城,2.13821346,62610783.0,20.0
156,2020-12-31,000066.SZ,中国长城,7.11823685,208434934.0,311.0
157,2021-03-31,000066.SZ,中国长城,2.95494775,86526250.0,22.0
158,2021-06-30,000066.SZ,中国长城,3.36290321,98814187.0,201.0
159,2021-09-30,000066.SZ,中国长城,0.50330818,14790724.0,7.0
160,2021-06-30,000068.SZ,华控赛格,0.00024834,2500.0,1.0
161,2020-09-30,000069.SZ,华侨城A,0.3815511,26873283.0,18.0
162,2020-12-31,000069.SZ,华侨城A,2.17151045,153365205.0,287.0
163,2021-03-31,000069.SZ,华侨城A,0.777453,54908435.0,44.0
164,2021-06-30,000069.SZ,华侨城A,3.38094663,238782907.0,265.0
165,2021-09-30,000069.SZ,华侨城A,2.63721103,186255800.0,27.0
166,2020-09-30,000070.SZ,特发信息,0.00377165,30000.0,1.0
167,2020-12-31,000070.SZ,特发信息,1.23192712,9799074.0,15.0
168,2021-03-31,000070.SZ,特发信息,0.83386507,6713920.0,2.0
169,2021-06-30,000070.SZ,特发信息,0.73280567,5900242.0,15.0
170,2021-09-30,000070.SZ,特发信息,0.32671811,2630600.0,1.0
171,2020-09-30,000078.SZ,海王生物,0.30957406,8145275.0,1.0
172,2020-12-31,000078.SZ,海王生物,0.62344495,16403605.0,60.0
173,2021-03-31,000078.SZ,海王生物,0.31168164,8200728.0,1.0
174,2021-06-30,000078.SZ,海王生物,0.62967944,16567642.0,61.0
175,2021-09-30,000078.SZ,海王生物,0.34367938,9042628.0,1.0
176,2020-12-31,000088.SZ,盐田港,0.01440425,323975.0,7.0
177,2021-06-30,000088.SZ,盐田港,0.0078511,176584.0,6.0
178,2021-09-30,000088.SZ,盐田港,0.0088922,200000.0,1.0
179,2020-09-30,000089.SZ,深圳机场,0.04021905,824800.0,3.0
180,2020-12-31,000089.SZ,深圳机场,1.09302053,22415332.0,108.0
181,2021-03-31,000089.SZ,深圳机场,0.54262076,11127901.0,16.0
182,2021-06-30,000089.SZ,深圳机场,1.00845244,20681035.0,95.0
183,2021-09-30,000089.SZ,深圳机场,0.54048287,11084058.0,5.0
184,2020-09-30,000090.SZ,天健集团,0.4763144,8900151.0,3.0
185,2020-12-31,000090.SZ,天健集团,1.92801583,36025851.0,80.0
186,2021-03-31,000090.SZ,天健集团,0.14314343,2674700.0,2.0
187,2021-06-30,000090.SZ,天健集团,1.36887786,25578105.0,79.0
188,2021-09-30,000090.SZ,天健集团,0.77662548,14511600.0,2.0
189,2020-12-31,000096.SZ,广聚能源,0.00029363,1500.0,1.0
190,2020-12-31,000099.SZ,中信海直,0.98587587,5975102.0,12.0
191,2021-03-31,000099.SZ,中信海直,0.63519879,3849752.0,1.0
192,2021-06-30,000099.SZ,中信海直,0.03914561,237250.0,5.0
193,2020-09-30,000100.SZ,TCL科技,3.82035993,507204023.0,83.0
194,2020-12-31,000100.SZ,TCL科技,6.07856692,807011292.0,456.0
195,2021-03-31,000100.SZ,TCL科技,4.09951797,554163902.0,122.0
196,2021-06-30,000100.SZ,TCL科技,4.03829555,571342556.0,495.0
197,2021-09-30,000100.SZ,TCL科技,1.03107334,139392176.0,42.0
198,2020-12-31,000150.SZ,宜华健康,0.04030569,324860.0,3.0
199,2020-09-30,000151.SZ,中成股份,0.25954967,691814.0,1.0
200,2020-12-31,000151.SZ,中成股份,0.0002251,600.0,1.0
201,2021-06-30,000151.SZ,中成股份,0.002176,5800.0,2.0
202,2021-06-30,000153.SZ,丰原药业,1.17092743,3653027.0,4.0
203,2020-09-30,000155.SZ,川能动力,0.40489772,5142201.0,1.0
204,2020-12-31,000155.SZ,川能动力,0.95753546,12160700.0,16.0
205,2021-06-30,000155.SZ,川能动力,0.84251969,10700000.0,27.0
206,2021-09-30,000155.SZ,川能动力,1.69200569,21488472.0,10.0
207,2020-12-31,000156.SZ,华数传媒,1.11822668,14316604.0,91.0
208,2021-06-30,000156.SZ,华数传媒,1.41120946,18067649.0,83.0
209,2021-09-30,000156.SZ,华数传媒,0.44586587,5708400.0,1.0
210,2020-09-30,000157.SZ,中联重科,1.15149417,74544200.0,49.0
211,2020-12-31,000157.SZ,中联重科,4.32677709,283381544.0,438.0
212,2021-03-31,000157.SZ,中联重科,4.45650459,292945611.0,74.0
213,2021-06-30,000157.SZ,中联重科,7.03922565,463441660.0,382.0
214,2021-09-30,000157.SZ,中联重科,0.31565414,22398500.0,16.0
215,2020-09-30,000158.SZ,常山北明,0.31305847,5004605.0,1.0
216,2020-12-31,000158.SZ,常山北明,1.21183759,19372638.0,71.0
217,2021-06-30,000158.SZ,常山北明,0.78673921,12576945.0,63.0
218,2021-09-30,000158.SZ,常山北明,0.32378024,5176005.0,1.0
219,2020-09-30,000159.SZ,国际实业,0.02454825,118000.0,1.0
220,2020-12-31,000159.SZ,国际实业,0.01751663,84200.0,2.0
221,2020-09-30,000166.SZ,申万宏源,2.07367595,467322463.0,30.0
222,2020-12-31,000166.SZ,申万宏源,3.06277659,690225646.0,269.0
223,2021-03-31,000166.SZ,申万宏源,2.23342216,503322776.0,22.0
224,2021-06-30,000166.SZ,申万宏源,2.84027891,640083678.0,225.0
225,2021-09-30,000166.SZ,申万宏源,2.17682789,490568734.0,34.0
226,2020-09-30,000301.SZ,东方盛虹,0.62308595,7856040.0,1.0
227,2020-12-31,000301.SZ,东方盛虹,8.96362031,115247948.0,118.0
228,2021-03-31,000301.SZ,东方盛虹,6.46482962,111959012.0,35.0
229,2021-06-30,000301.SZ,东方盛虹,13.14590527,227663010.0,267.0
230,2021-09-30,000301.SZ,东方盛虹,13.73684598,237902431.0,153.0
231,2020-09-30,000333.SZ,美的集团,7.8353686,544363567.0,814.0
232,2020-12-31,000333.SZ,美的集团,11.89793257,832920263.0,1687.0
233,2021-03-31,000333.SZ,美的集团,8.32743967,580191263.0,856.0
234,2021-06-30,000333.SZ,美的集团,7.42522505,518273902.0,1271.0
235,2021-09-30,000333.SZ,美的集团,4.50717507,311501203.0,536.0
236,2020-09-30,000338.SZ,潍柴动力,3.10563922,135042602.0,74.0
237,2020-12-31,000338.SZ,潍柴动力,7.33816658,319085708.0,536.0
238,2021-03-31,000338.SZ,潍柴动力,5.3721832,233598797.0,92.0
239,2021-06-30,000338.SZ,潍柴动力,7.77906659,373343641.0,502.0
240,2021-09-30,000338.SZ,潍柴动力,3.72305022,161889502.0,64.0
241,2020-09-30,000400.SZ,许继电气,0.00265787,26800.0,1.0
242,2020-12-31,000400.SZ,许继电气,2.12338157,21410636.0,89.0
243,2021-03-31,000400.SZ,许继电气,0.00119009,12000.0,1.0
244,2021-06-30,000400.SZ,许继电气,1.72853019,17429242.0,78.0
245,2021-09-30,000400.SZ,许继电气,2.39689673,24168564.0,21.0
246,2020-09-30,000401.SZ,冀东水泥,2.36542529,31867963.0,14.0
247,2020-12-31,000401.SZ,冀东水泥,3.65079889,49185034.0,145.0
248,2021-03-31,000401.SZ,冀东水泥,3.19189252,43002463.0,17.0
249,2021-06-30,000401.SZ,冀东水泥,3.55011511,50176183.0,132.0
250,2021-09-30,000401.SZ,冀东水泥,4.41137497,62349013.0,13.0
251,2020-09-30,000402.SZ,金融街,0.57075128,17059356.0,3.0
252,2020-12-31,000402.SZ,金融街,1.7809035,53229956.0,140.0
253,2021-03-31,000402.SZ,金融街,0.53016352,15846216.0,4.0
254,2021-06-30,000402.SZ,金融街,1.64408332,49140499.0,129.0
255,2021-09-30,000402.SZ,金融街,0.71845415,21474091.0,2.0
256,2020-09-30,000403.SZ,派林生物,4.9931876,24322511.0,13.0
257,2020-12-31,000403.SZ,派林生物,9.32155928,45411831.0,61.0
258,2021-03-31,000403.SZ,派林生物,4.73415394,23063373.0,7.0
259,2021-06-30,000403.SZ,派林生物,12.19789215,76371398.0,80.0
260,2021-09-30,000403.SZ,派林生物,4.15450379,22289876.0,6.0
261,2020-12-31,000404.SZ,长虹华意,0.06323082,440084.0,3.0
262,2021-06-30,000404.SZ,长虹华意,0.05328823,370884.0,6.0
263,2021-06-30,000407.SZ,胜利股份,0.21027854,1841629.0,8.0
264,2021-06-30,000408.SZ,藏格矿业,2.88817809,13675600.0,13.0
265,2021-09-30,000408.SZ,藏格矿业,0.9276252,4392330.0,2.0
266,2020-12-31,000411.SZ,英特集团,0.05946439,123300.0,3.0
267,2021-06-30,000411.SZ,英特集团,0.04065571,84300.0,4.0
268,2020-12-31,000413.SZ,东旭光电,0.0904525,4399813.0,11.0
269,2021-06-30,000413.SZ,东旭光电,0.07977455,3880413.0,9.0
270,2020-12-31,000415.SZ,渤海租赁,1.00979311,35833589.0,64.0
271,2021-06-30,000415.SZ,渤海租赁,0.90397969,32078687.0,59.0
272,2020-12-31,000416.SZ,民生控股,5.642e-05,300.0,1.0
273,2020-12-31,000417.SZ,合肥百货,0.00739281,57592.0,3.0
274,2021-06-30,000417.SZ,合肥百货,0.00786777,61292.0,6.0
275,2020-12-31,000419.SZ,通程控股,0.09687579,526600.0,3.0
276,2021-03-31,000419.SZ,通程控股,0.10487825,570100.0,1.0
277,2021-06-30,000419.SZ,通程控股,0.14237025,773900.0,5.0
278,2021-09-30,000419.SZ,通程控股,0.16913711,919400.0,1.0
279,2020-12-31,000420.SZ,吉林化纤,0.00049746,9800.0,1.0
280,2021-06-30,000420.SZ,吉林化纤,0.00031472,6200.0,1.0
281,2021-09-30,000420.SZ,吉林化纤,3.35340875,72689100.0,3.0
282,2021-06-30,000421.SZ,南京公用,0.0001397,800.0,1.0
283,2021-06-30,000422.SZ,湖北宜化,6.69795163,60138678.0,31.0
284,2021-09-30,000422.SZ,湖北宜化,0.84577821,7593961.0,5.0
285,2020-09-30,000423.SZ,东阿阿胶,5.48671718,35884312.0,14.0
286,2020-12-31,000423.SZ,东阿阿胶,8.79670766,57532363.0,144.0
287,2021-03-31,000423.SZ,东阿阿胶,1.63041681,10663277.0,13.0
288,2021-06-30,000423.SZ,东阿阿胶,2.44853038,16013916.0,116.0
289,2021-09-30,000423.SZ,东阿阿胶,1.89380706,12385906.0,23.0
290,2020-09-30,000425.SZ,徐工机械,1.30736051,91454253.0,16.0
291,2020-12-31,000425.SZ,徐工机械,2.53690237,177464826.0,212.0
292,2021-03-31,000425.SZ,徐工机械,1.57914798,110466697.0,13.0
293,2021-06-30,000425.SZ,徐工机械,2.99988837,209852255.0,284.0
294,2021-09-30,000425.SZ,徐工机械,0.81224698,63528081.0,20.0
295,2020-12-31,000426.SZ,兴业矿业,1.06860791,15765113.0,16.0
296,2021-06-30,000426.SZ,兴业矿业,0.47768578,7047500.0,10.0
297,2020-12-31,000428.SZ,华天酒店,0.00525062,53500.0,2.0
298,2021-06-30,000428.SZ,华天酒店,0.00344481,35100.0,2.0
