,日期,股票代码,股票名称,基金持股比例 [单位]% [比例类型]占流通股比例,基金持股数量 [单位]股,持股基金家数 [股本类型]流通股本
0,2019-03-31,000001.SZ,平安银行,1.89280475,324999402.0,142.0
1,2019-06-30,000001.SZ,平安银行,4.51489229,775218546.0,625.0
2,2019-09-30,000001.SZ,平安银行,2.9202907,566704666.0,311.0
3,2019-12-31,000001.SZ,平安银行,4.68850466,909840074.0,758.0
4,2020-03-31,000001.SZ,平安银行,2.44260358,474005841.0,202.0
5,2019-03-31,000002.SZ,万科A,4.46260536,433952510.0,388.0
6,2019-06-30,000002.SZ,万科A,6.27402797,610098802.0,833.0
7,2019-09-30,000002.SZ,万科A,6.05808161,589099757.0,266.0
8,2019-12-31,000002.SZ,万科A,11.35155163,1103847163.0,1286.0
9,2020-03-31,000002.SZ,万科A,9.6290972,936352337.0,483.0
10,2019-06-30,000004.SZ,国华网安,0.07290768,61189.0,2.0
11,2020-03-31,000004.SZ,国华网安,13.11908737,11010415.0,4.0
12,2019-06-30,000005.SZ,ST星源,0.14704915,1555701.0,6.0
13,2019-09-30,000005.SZ,ST星源,0.06298997,666400.0,1.0
14,2019-12-31,000005.SZ,ST星源,0.12634859,1336700.0,4.0
15,2019-03-31,000006.SZ,深振业A,0.73023631,9858154.0,1.0
16,2019-06-30,000006.SZ,深振业A,1.38137913,18648550.0,58.0
17,2019-09-30,000006.SZ,深振业A,0.76119939,10276154.0,1.0
18,2019-12-31,000006.SZ,深振业A,1.91750605,25886236.0,84.0
19,2020-03-31,000006.SZ,深振业A,0.64159895,8661554.0,2.0
20,2019-06-30,000007.SZ,*ST全新,3.237e-05,100.0,1.0
21,2019-12-31,000007.SZ,*ST全新,3.237e-05,100.0,1.0
22,2019-03-31,000008.SZ,神州高铁,0.1357991,3776295.0,3.0
23,2019-06-30,000008.SZ,神州高铁,1.4451108,40185574.0,58.0
24,2019-09-30,000008.SZ,神州高铁,0.87103953,24221827.0,4.0
25,2019-12-31,000008.SZ,神州高铁,1.50502403,41851638.0,59.0
26,2020-03-31,000008.SZ,神州高铁,0.11772154,3273595.0,4.0
27,2019-03-31,000009.SZ,中国宝安,1.08167695,22941562.0,3.0
28,2019-06-30,000009.SZ,中国宝安,2.1905417,46459758.0,78.0
29,2019-09-30,000009.SZ,中国宝安,1.09879509,27965550.0,1.0
30,2019-12-31,000009.SZ,中国宝安,2.46590614,62760038.0,85.0
31,2020-03-31,000009.SZ,中国宝安,2.19572822,55883711.0,13.0
32,2019-06-30,000011.SZ,深物业A,0.38473212,676600.0,11.0
33,2019-12-31,000011.SZ,深物业A,0.0294809,155200.0,7.0
34,2020-03-31,000011.SZ,深物业A,0.43710371,2301100.0,2.0
35,2019-06-30,000012.SZ,南玻A,1.59782023,31275995.0,60.0
36,2019-12-31,000012.SZ,南玻A,1.72405112,33814265.0,71.0
37,2019-06-30,000014.SZ,沙河股份,0.12438947,250900.0,4.0
38,2019-12-31,000014.SZ,沙河股份,0.06172375,124500.0,2.0
39,2019-06-30,000016.SZ,深康佳A,0.12832024,2048753.0,18.0
40,2019-12-31,000016.SZ,深康佳A,0.02982306,476153.0,10.0
41,2020-03-31,000016.SZ,深康佳A,5.637e-05,900.0,1.0
42,2019-12-31,000017.SZ,深中华A,0.00125419,3800.0,1.0
43,2019-06-30,000019.SZ,深粮控股,0.07056164,293639.0,11.0
44,2019-12-31,000019.SZ,深粮控股,0.18723216,779291.0,19.0
45,2019-06-30,000020.SZ,深华发A,0.00171114,3100.0,1.0
46,2019-12-31,000020.SZ,深华发A,0.09029704,163587.0,4.0
47,2019-03-31,000021.SZ,深科技,1.33946016,19706933.0,4.0
48,2019-06-30,000021.SZ,深科技,1.14808168,16891259.0,68.0
49,2019-09-30,000021.SZ,深科技,1.5421005,22688298.0,2.0
50,2019-12-31,000021.SZ,深科技,1.51500376,22289635.0,67.0
51,2020-03-31,000021.SZ,深科技,0.88644574,13041916.0,4.0
52,2019-06-30,000023.SZ,深天地A,0.48257291,669600.0,9.0
53,2019-12-31,000023.SZ,深天地A,0.08705915,120800.0,5.0
54,2020-03-31,000023.SZ,深天地A,0.01953065,27100.0,1.0
55,2019-03-31,000025.SZ,特力A,0.26444801,716341.0,1.0
56,2019-06-30,000025.SZ,特力A,0.69986856,2748932.0,35.0
57,2019-09-30,000025.SZ,特力A,0.25386432,997124.0,1.0
58,2019-12-31,000025.SZ,特力A,0.81649539,3207017.0,45.0
59,2020-03-31,000025.SZ,特力A,0.97948353,3847199.0,3.0
60,2019-03-31,000026.SZ,飞亚达,1.04968741,3748401.0,3.0
61,2019-06-30,000026.SZ,飞亚达,1.6013374,5718326.0,21.0
62,2019-09-30,000026.SZ,飞亚达,0.00495664,17700.0,1.0
63,2019-12-31,000026.SZ,飞亚达,0.28116319,1004025.0,8.0
64,2019-03-31,000027.SZ,深圳能源,0.31349397,12428442.0,1.0
65,2019-06-30,000027.SZ,深圳能源,1.10142407,43665863.0,113.0
66,2019-09-30,000027.SZ,深圳能源,0.32121006,12734346.0,1.0
67,2019-12-31,000027.SZ,深圳能源,1.06322874,42151615.0,117.0
68,2020-03-31,000027.SZ,深圳能源,0.30234635,11986496.0,4.0
69,2019-03-31,000028.SZ,国药一致,4.51843161,13905308.0,15.0
70,2019-06-30,000028.SZ,国药一致,9.29547049,28606575.0,168.0
71,2019-09-30,000028.SZ,国药一致,2.29625706,7066673.0,18.0
72,2019-12-31,000028.SZ,国药一致,6.66289118,20504879.0,196.0
73,2020-03-31,000028.SZ,国药一致,1.27180576,4676897.0,11.0
74,2019-03-31,000029.SZ,深深房A,0.00069533,6200.0,1.0
75,2019-06-30,000029.SZ,深深房A,0.0020528,18304.0,3.0
76,2019-09-30,000029.SZ,深深房A,0.00069533,6200.0,1.0
77,2019-12-31,000029.SZ,深深房A,0.0020528,18304.0,3.0
78,2020-03-31,000029.SZ,深深房A,0.00069533,6200.0,1.0
