,日期,股票代码,股票名称,区间日均总市值 [起始交易日期]截止日3月前 [单位]元,月收盘价 [复权方式]前复权,当月成交均价 [复权方式]前复权,月换手率 [单位]%,月振幅 [单位]%,融资融券差额 [单位]元
0,2022-03-31,000001.SZ,平安银行,309530973535.46,15.1081014402,14.583016542998,14.4243,17.3333,3646090323.0
1,2022-06-30,000001.SZ,平安银行,289135455957.94,14.7151729242,14.034223128252,14.4258,10.3814,3593269945.0
2,2022-09-30,000001.SZ,平安银行,249157288209.14,11.84,12.422114285714,10.1263,10.1176,4076306289.0
3,2022-12-31,000001.SZ,平安银行,232743766453.39,13.16,13.143618181818,12.2504,8.2886,3429194320.0
4,2023-03-31,000001.SZ,平安银行,268972604501.64,12.53,13.115256521739,11.9855,14.7315,3917590777.0
5,2022-03-31,000002.SZ,万科A,227512693456.67,18.032340507,16.548685629336,37.2328,29.7917,5162083731.0
6,2022-06-30,000002.SZ,万科A,220043731881.56,19.30354989,17.132750242289,20.3186,19.9326,4164680527.0
7,2022-09-30,000002.SZ,万科A,203625446321.36,17.83,17.65939047619,19.4986,13.8304,3628264865.0
8,2022-12-31,000002.SZ,万科A,197111925428.19,18.2,18.914395454545,22.119,15.2815,3207841822.0
9,2023-03-31,000002.SZ,万科A,201755412320.92,15.24,15.957130434783,17.5083,12.1354,4458714336.0
10,2023-03-31,000004.SZ,国华网安,1315330378.87,9.9,9.90212173913,26.5096,8.502,0.0
11,2022-12-31,000004.SZ,国华网安,1257417284.9,9.68,9.832581818182,37.7283,17.7451,0.0
12,2022-03-31,000004.SZ,国华网安,3298988058.46,20.01,20.195847826087,113.157,17.8025,0.0
13,2022-06-30,000004.SZ,国华网安,1918581477.13,8.91,9.472561904762,51.9508,17.3913,0.0
14,2022-09-30,000004.SZ,国华网安,1247328110.11,8.44,9.077061904762,35.8697,18.3084,0.0
15,2022-03-31,000005.SZ,ST星源,2343134094.33,2.26,2.191134782609,17.2172,13.6364,0.0
16,2022-06-30,000005.SZ,ST星源,2073691026.54,1.82,1.827095238095,13.219,7.9365,0.0
17,2022-09-30,000005.SZ,ST星源,1886440959.94,1.68,1.791871428571,11.2708,13.1148,0.0
18,2022-12-31,000005.SZ,ST星源,1902589825.52,1.86,1.895877272727,22.7658,18.5185,0.0
19,2023-03-31,000005.SZ,ST星源,1929228247.8,1.77,1.797082608696,12.1137,5.5866,0.0
20,2023-03-31,000006.SZ,深振业A,7493387756.18,5.08,5.414943478261,45.9987,16.5794,487645764.0
21,2022-09-30,000006.SZ,深振业A,5765092480.53,4.13,4.351614285714,24.4465,12.114,358782162.0
22,2022-12-31,000006.SZ,深振业A,6429517389.57,6.3,5.911559090909,297.9493,38.3562,534129493.0
23,2022-03-31,000006.SZ,深振业A,6020291467.0,5.0095454405,4.311554414789,40.45,41.2442,393962102.0
24,2022-06-30,000006.SZ,深振业A,6082723580.21,4.71,4.34738453811,50.0919,14.7059,409412263.0
25,2022-03-31,000007.SZ,全新好,2232123643.49,6.33,6.220547826087,37.2437,15.8147,0.0
26,2022-06-30,000007.SZ,全新好,2389809966.46,7.23,7.024695,50.0968,8.8435,0.0
27,2022-09-30,000007.SZ,全新好,2725916200.75,8.06,8.024071428571,103.5099,18.7811,0.0
28,2022-12-31,000007.SZ,全新好,2759543862.6,7.78,7.918122727273,51.7667,12.8647,0.0
29,2023-03-31,000007.SZ,全新好,2670233619.13,7.67,7.717056521739,23.5606,9.3023,0.0
30,2023-03-31,000008.SZ,神州高铁,6683367461.42,2.37,2.468408695652,23.5876,12.253,255463531.0
31,2022-09-30,000008.SZ,神州高铁,6744692711.93,2.2,2.357385714286,13.5371,14.1079,215046520.0
32,2022-12-31,000008.SZ,神州高铁,6630601361.9,2.3,2.407509090909,16.5721,13.9918,231051409.0
33,2022-03-31,000008.SZ,神州高铁,7462429273.43,2.54,2.608634782609,40.9886,19.4853,231685681.0
34,2022-06-30,000008.SZ,神州高铁,6793346269.85,2.5,2.539442857143,41.1255,15.6028,228384534.0
35,2022-03-31,000009.SZ,中国宝安,33968247919.05,11.16762,12.099374495652,58.7651,28.7064,1967595577.0
36,2022-06-30,000009.SZ,中国宝安,29916767884.19,13.46302,13.748025038095,78.7739,32.368,2124160446.0
37,2022-09-30,000009.SZ,中国宝安,36169958749.17,11.22,13.377928571429,40.3179,29.1328,2310923379.0
38,2022-12-31,000009.SZ,中国宝安,32293872951.61,12.09,12.689890909091,31.7517,16.9466,2041161092.0
39,2023-03-31,000009.SZ,中国宝安,31536355158.49,11.37,11.924508695652,16.6369,13.0469,1693541605.0
40,2022-12-31,000010.SZ,美丽生态,3593999997.17,3.75,3.725445454545,46.0923,20.0599,0.0
41,2022-03-31,000010.SZ,美丽生态,2950921133.1,3.41,3.44522173913,28.8613,15.0685,0.0
42,2022-06-30,000010.SZ,美丽生态,3211567437.35,4.01,4.204361904762,189.2886,35.1955,0.0
43,2022-09-30,000010.SZ,美丽生态,3770869454.6,3.15,3.497695238095,41.1421,18.4136,0.0
44,2023-03-31,000010.SZ,美丽生态,3511628500.75,2.82,3.114665217391,39.232,18.0723,0.0
45,2023-03-31,000011.SZ,深物业A,6638398977.64,10.11,10.8975,21.425,14.8955,0.0
46,2022-12-31,000011.SZ,深物业A,6285429987.81,11.59,11.950063636364,103.7569,21.8972,0.0
47,2022-03-31,000011.SZ,深物业A,6666076650.72,12.2747122656,10.30710982113,33.4525,38.6322,0.0
48,2022-06-30,000011.SZ,深物业A,7380859099.2,12.7956298386,11.957989871107,69.1064,18.4496,0.0
49,2022-09-30,000011.SZ,深物业A,6339230941.91,9.19,10.110919047619,25.8262,18.1456,0.0
50,2022-03-31,000012.SZ,南玻A,26204974167.36,7.2262663228,7.533918281206,27.9244,20.8183,436439095.0
51,2022-06-30,000012.SZ,南玻A,19929798558.73,7.42,6.663883068902,61.7446,28.2958,448960230.0
52,2022-09-30,000012.SZ,南玻A,21097515800.61,6.94,7.180423809524,93.633,29.4479,634683130.0
53,2022-12-31,000012.SZ,南玻A,21710296588.64,6.71,7.015172727273,29.0136,11.1724,674486007.0
54,2023-03-31,000012.SZ,南玻A,21223687022.26,6.71,6.772260869565,23.7545,8.908,548563174.0
55,2023-03-31,000014.SZ,沙河股份,2433795294.71,9.42,9.756608695652,39.232,8.7512,0.0
56,2022-12-31,000014.SZ,沙河股份,2228372769.45,10.19,10.232413636364,246.0059,15.5856,0.0
57,2022-09-30,000014.SZ,沙河股份,2083467883.59,8.26,9.196785714286,281.3956,35.0365,0.0
58,2022-06-30,000014.SZ,沙河股份,2228743115.65,9.11,9.032276190476,146.8111,20.0,0.0
59,2022-03-31,000014.SZ,沙河股份,1772954406.41,10.1397581168,7.708644140451,102.1913,48.8453,0.0
60,2022-03-31,000016.SZ,深康佳A,14021180422.35,5.4401814891,5.249828991633,13.5377,18.8811,990651205.0
61,2022-06-30,000016.SZ,深康佳A,12778689958.65,6.05,5.907389387523,27.581,19.573,1018954471.0
62,2022-09-30,000016.SZ,深康佳A,13183865949.01,4.81,5.277647619048,13.8177,18.3929,869280528.0
63,2022-12-31,000016.SZ,深康佳A,11918145534.15,4.51,4.827022727273,11.5234,13.1846,774756276.0
64,2023-03-31,000016.SZ,深康佳A,11493245870.29,5.09,4.789943478261,24.8556,15.5925,748835265.0
65,2022-12-31,000017.SZ,深中华A,2888837277.72,4.76,4.777572727273,167.7521,27.8867,0.0
66,2022-09-30,000017.SZ,深中华A,2375975501.3,3.76,4.18879047619,79.2442,24.0476,0.0
67,2023-03-31,000017.SZ,深中华A,3315446771.75,4.62,4.736813043478,91.2047,13.843,0.0
68,2022-03-31,000017.SZ,深中华A,1948407575.42,3.36,3.496704347826,58.3021,13.2791,0.0
69,2022-06-30,000017.SZ,深中华A,1955296743.84,4.43,4.221480952381,280.2904,100.59,0.0
70,2022-03-31,000019.SZ,深粮控股,8536574677.93,8.266428612,7.680063107052,172.5176,37.9085,0.0
71,2022-06-30,000019.SZ,深粮控股,9534489593.87,7.71,8.273416070664,121.307,22.0994,0.0
72,2022-09-30,000019.SZ,深粮控股,8808861871.63,6.88,7.463661904762,46.5364,17.43,0.0
73,2022-12-31,000019.SZ,深粮控股,8530272401.24,7.51,7.738554545455,60.0296,17.6548,0.0
74,2023-03-31,000019.SZ,深粮控股,9035681046.4,7.79,7.981673913043,54.018,10.8565,0.0
75,2022-12-31,000020.SZ,深华发A,2659487379.88,8.93,9.607863636364,28.3724,19.4215,0.0
76,2022-09-30,000020.SZ,深华发A,2792656149.68,8.1,10.198542857143,65.4653,34.7779,0.0
77,2023-03-31,000020.SZ,深华发A,2828828651.16,10.66,10.248682608696,31.4616,14.5098,0.0
78,2022-03-31,000020.SZ,深华发A,2681776786.83,9.08,9.073739130435,19.1326,13.7967,0.0
79,2022-06-30,000020.SZ,深华发A,2520599119.03,10.7,9.636214285714,75.7955,37.4582,0.0
80,2022-03-31,000021.SZ,深科技,20901557930.74,11.1900000366,11.740138570721,15.0297,22.9075,1095160347.0
81,2022-06-30,000021.SZ,深科技,16736406462.19,11.64,11.181535770929,27.4056,15.3145,988906121.0
82,2022-09-30,000021.SZ,深科技,18677395996.38,10.5,11.537385714286,13.2676,16.9811,1022280134.0
83,2022-12-31,000021.SZ,深科技,17759742585.47,10.69,11.224795454545,15.6391,14.6154,960043605.0
84,2023-03-31,000021.SZ,深科技,19621611602.21,16.72,13.546804347826,78.1185,35.68,936590714.0
85,2022-03-31,000023.SZ,深天地A,1755572170.09,13.24,12.085660869565,15.4376,18.1536,0.0
86,2022-06-30,000023.SZ,深天地A,1588940923.4,12.29,11.512961904762,58.4963,26.8271,0.0
87,2022-09-30,000023.SZ,深天地A,1462953290.4,10.04,10.0847,32.6322,15.3179,0.0
88,2022-12-31,000023.SZ,深天地A,1718257189.69,13.77,13.476486363636,57.8063,19.7917,0.0
89,2023-03-31,000023.SZ,深天地A,1557903323.11,10.25,10.73722173913,22.6808,12.8497,0.0
90,2023-03-31,000025.SZ,特力A,8280630327.2,18.26,19.071734782609,58.1558,12.9815,78928153.0
91,2022-12-31,000025.SZ,特力A,7873103551.55,17.15,19.136522727273,77.401,27.6556,89610845.0
